Quoi	PRO	quoi
qu'	KON	que
un	DET:ART	un
si	ADV	si
dur	ADJ	dur
sacrifice	NOM	sacrifice
?	SENT	?
Ô	INT	ô
rigoureuse	ADJ	rigoureux
loi	NOM	loi
d'	PRP	de
un	DET:ART	un
ascendant	ADJ	ascendant
vainqueur	NOM	vainqueur
?	SENT	?
Quels	PRO:REL	quel
terribles	ADJ	terrible
assauts	NOM	assaut
tu	PRO:PER	tu
livres	VER:pres	livrer
à	PRP	à
mon	DET:POS	mon
coeur	NOM	cœur
?	SENT	?
Préparez	VER:pres	préparer
-vous	PRO:PER	vous
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
votre	DET:POS	votre
père	NOM	père
s'	PRO:PER	se
approche	VER:pres	approcher
.	SENT	.
Dites	VER:pres	dire
plutôt	ADV	plutôt
mon	DET:POS	mon
roi	NOM	roi
.	SENT	.
Quel	PRO:REL	quel
combat	NOM	combat
?	SENT	?
Quel	PRO:REL	quel
reproche	VER:pres	reprocher
?	SENT	?
Je	PRO:PER	je
sens	VER:pres	sentir
plus	ADV	plus
que	KON	que
jamais	ADV	jamais
mon	DET:POS	mon
coeur	NOM	cœur
se	PRO:PER	se
révolter	VER:infi	révolter
.	SENT	.
Qu'	KON	que
on	PRO:PER	on
nous	PRO:PER	nous
laisse	VER:pres	laisser
.	SENT	.
À	PRP	à
mes	DET:POS	mon
pieds	NOM	pied
viendra-t-il	VER:futu	viendra-t-il
se	PRO:PER	se
jeter	VER:infi	jeter
?	SENT	?
Par	PRP	par
où	PRO:REL	où
commencerai	VER:futu	commencer
-je	PRO:PER	je
,	PUN	,
et	KON	et
qu'	PRO:REL	que
est	VER:pres	être
-ce	PRO:DEM	ce
que	PRO:REL	que
j'	PRO:PER	je
espère	VER:pres	espérer
?	SENT	?
Je	PRO:PER	je
sens	VER:pres	sentir
à	PRP	à
son	DET:POS	son
aspect	NOM	aspect
redoubler	VER:infi	redoubler
ma	DET:POS	mon
colère	NOM	colère
.	SENT	.
Allons	INT	allons
,	PUN	,
obéissons	VER:pres	obéir
,	PUN	,
et	KON	et
balançons	VER:pres	balancer
plus	ADV	plus
;	PUN	;
Vous	NAM	Vous
me	PRO:PER	me
voyez	VER:pres	voir
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
interdit	ADJ	interdit
et	KON	et
confus	ADJ	confus
...	PUN	...
Qu'	NAM	Qu'
attendez	VER:pres	attendre
-vous	PRO:PER	vous
de	PRP	de
moi	PRO:PER	moi
,	PUN	,
Prince	NAM	Prince
,	PUN	,
quelle	PRO:REL	quel
espérance	NOM	espérance
Vous	NAM	Vous
a	VER:pres	avoir
fait	VER:pper	faire
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
souhaiter	VER:infi	souhaiter
ma	DET:POS	mon
présence	NOM	présence
?	SENT	?
Ah	INT	ah
!	SENT	!
Loin	ADV	loin
de	PRP	de
m'	PRO:PER	me
accabler	VER:infi	accabler
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
rassurez	VER:pres	rassurer
-moi	PRO:PER	moi
,	PUN	,
Mes	VER:simp	Mes
esprits	NOM	esprit
sont	VER:pres	être
saisis	VER:pper	saisir
et	KON	et
de	PRP	de
trouble	NOM	trouble
et	KON	et
d'	PRP	de
effroi	NOM	effroi
,	PUN	,
Mon	NAM	Mon
courage	NOM	courage
abattu	VER:pper	abattre
,	PUN	,
succombe	VER:pres	succomber
à	PRP	à
ma	DET:POS	mon
tristesse	NOM	tristesse
.	SENT	.
Un	DET:ART	un
coeur	NOM	cœur
comme	KON	comme
le	DET:ART	le
vôtre	PRO:POS	vôtre
a-t-il	ADJ	a-t-il
tant	ADV	tant
de	PRP	de
faiblesse	NOM	faiblesse
?	SENT	?
Souvenez	VER:pres	souvenir
-vous	PRO:PER	vous
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
que	PRO:REL	que
je	PRO:PER	je
suis	VER:pres	suivre|être
votre	DET:POS	votre
fils	NOM	fil|fils
.	SENT	.
Et	KON	et
le	DET:ART	le
plus	ADV	plus
dangereux	ADJ	dangereux
de	PRP	de
tous	PRO:IND	tout
mes	DET:POS	mon
ennemis	NOM	ennemi
.	SENT	.
Le	PRO:PER	le
croyez	VER:pres	croire
-vous	PRO:PER	vous
,	PUN	,
Seigneur	NAM	Seigneur
?	SENT	?
Ah	INT	ah
ciel	NOM	ciel
!	SENT	!
Qu'	KON	que
osez	VER:pres	oser
-vous	PRO:PER	vous
dire	VER:infi	dire
?	SENT	?
Ce	PRO:DEM	ce
qu'	PRO:REL	que
un	DET:ART	un
juste	ADJ	juste
courroux	NOM	courroux
et	KON	et
la	DET:ART	le
raison	NOM	raison
m'	PRO:PER	me
inspire	VER:pres	inspirer
.	SENT	.
Que	KON	que
je	PRO:PER	je
suis	VER:pres	suivre|être
malheureux	ADJ	malheureux
!	SENT	!
Bien	ADV	bien
moins	ADV	moins
que	KON	que
criminel	ADJ	criminel
.	SENT	.
Ne	ADV	ne
quitterez	VER:futu	quitter
-vous	PRO:PER	vous
point	VER:pres	poindre
ce	PRO:DEM	ce
sentiment	NOM	sentiment
cruel	ADJ	cruel
?	SENT	?
Serez	VER:futu	être
-vous	PRO:PER	vous
pour	PRP	pour
un	DET:ART	un
fils	NOM	fil|fils
inflexible	ADJ	inflexible
et	KON	et
sévère	ADJ	sévère
?	SENT	?
Avez	VER:pres	avoir
-vous	PRO:PER	vous
donc	ADV	donc
été	VER:pper	être
plus	ADV	plus
tendre	ADJ	tendre
pour	PRP	pour
un	DET:ART	un
père	NOM	père
?	SENT	?
Et	KON	et
quoi	PRO:REL	quoi
c'	PRO:DEM	ce
en	PRO:PER	en
est	VER:pres	être
donc	ADV	donc
fait	VER:pper	faire
?	SENT	?
Il	PRO:PER	il
ne	ADV	ne
m'	PRO:PER	me
est	VER:pres	être
plus	ADV	plus
permis	VER:pper	permettre
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
de	PRP	de
me	PRO:PER	me
donner	VER:infi	donner
le	DET:ART	le
nom	NOM	nom
de	PRP	de
votre	DET:POS	votre
fils	NOM	fil|fils
?	SENT	?
Et	KON	et
cependant	ADV	cependant
hélas	VER:simp	héler
!	SENT	!
Dans	PRP	dans
ce	PRO:DEM	ce
moment	NOM	moment
funeste	ADJ	funeste
,	PUN	,
Ce	VER:simp	Ce
nom	NOM	nom
de	PRP	de
tous	PRO:IND	tout
mes	DET:POS	mon
biens	NOM	bien
est	VER:pres	être
le	DET:ART	le
seul	NOM	seul
qui	PRO:REL	qui
me	PRO:PER	me
reste	VER:pres	rester
;	PUN	;
Oui	VER:pper	Oui
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
oppose	VER:pres	opposer
à	PRP	à
ce	PRO:DEM	ce
juste	ADJ	juste
courroux	NOM	courroux
Que	VER:ppre	Que
ce	PRO:DEM	ce
sang	NOM	sang
,	PUN	,
que	KON	que
ces	PRO:DEM	ce
traits	NOM	trait
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
reçus	VER:pper	recevoir
de	PRP	de
vous	PRO:PER	vous
,	PUN	,
J'	NAM	J'
ose	VER:pres	oser
dans	PRP	dans
votre	DET:POS	votre
coeur	NOM	cœur
avec	PRP	avec
cette	PRO:DEM	ce
défense	NOM	défense
Me	ABR	Me
promettre	VER:infi	promettre
toujours	ADV	toujours
un	DET:ART	un
reste	NOM	reste
d'	PRP	de
innocence	NOM	innocence
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
là	ADV	là
ce	PRO:DEM	ce
qui	PRO:REL	qui
vous	PRO:PER	vous
rend	VER:pres	rendre
plus	ADV	plus
coupable	ADJ	coupable
à	PRP	à
mes	DET:POS	mon
yeux	NOM	œil
Vous	NAM	Vous
joignez	VER:pres	joindre
à	PRP	à
ce	PRO:DEM	ce
nom	NOM	nom
des	PRP:det	du
noms	NOM	nom
trop	ADV	trop
odieux	ADJ	odieux
.	SENT	.
Ingrat	ADJ	ingrat
,	PUN	,
et	KON	et
sans	PRP	sans
frémir	VER:infi	frémir
je	PRO:PER	je
ne	ADV	ne
puis	ADV	puis
reconnaître	VER:infi	reconnaître
Mon	NAM	Mon
sang	NOM	sang
dans	PRP	dans
un	DET:ART	un
rebelle	NOM	rebelle
,	PUN	,
et	KON	et
mon	DET:POS	mon
fils	NOM	fil|fils
dans	PRP	dans
un	DET:ART	un
traître	NOM	traître
.	SENT	.
Seigneur	NAM	Seigneur
...	PUN	...
Ce	NAM	Ce
ne	ADV	ne
sont	VER:pres	être
plus	ADV	plus
maintenant	ADV	maintenant
des	PRP:det	du
soupçons	NOM	soupçon
,	PUN	,
Nous	PRO:PER	nous
avons	VER:pres	avoir
découvert	VER:pper	découvrir
toutes	PRO:IND	tout
vos	DET:POS	votre
trahisons	NOM	trahison
;	PUN	;
Allez	NAM	Allez
,	PUN	,
Prince	NAM	Prince
,	PUN	,
marchez	VER:pres	marcher
où	PRO:REL	où
l'	DET:ART	le
honneur	NOM	honneur
vous	PRO:PER	vous
convie	VER:pres	convier
,	PUN	,
Soulevez	VER:pres	soulever
contre	PRP	contre
moi	NOM	moi
toute	PRO:IND	tout
la	DET:ART	le
Bulgarie	NAM	Bulgarie
,	PUN	,
Dans	VER:simp	Dans
ces	PRO:DEM	ce
nobles	ADJ	noble
emplois	NOM	emploi
signalez	VER:pres	signaler
votre	DET:POS	votre
bras	NOM	bras
.	SENT	.
D'	PRP	de
autres	ADJ	autre
crimes	NOM	crime
encore	ADV	encore
...	PUN	...
Ah	NAM	Ah
!	SENT	!
Ne	ADV	ne
le	PRO:PER	le
croyez	VER:pres	croire
pas	ADV	pas
,	PUN	,
Ne	NAM	Ne
me	PRO:PER	me
reprochez	VER:pres	reprocher
point	ADV	point
un	DET:ART	un
crime	NOM	crime
imaginaire	ADJ	imaginaire
.	SENT	.
Quoi	PRO	quoi
,	PUN	,
se	PRO:PER	se
rendre	VER:infi	rendre
le	DET:ART	le
chef	NOM	chef
d'	PRP	de
un	DET:ART	un
peuple	NOM	peuple
téméraire	ADJ	téméraire
,	PUN	,
Traiter	VER:infi	traiter
secrètement	ADV	secrètement
avec	PRP	avec
des	PRP:det	du
révoltés	VER:pper	révolter
,	PUN	,
Sont	VER:futu	Sont
-ce	PRO:DEM	ce
là	ADV	là
,	PUN	,
dites	VER:pres	dire
-moi	PRO:PER	moi
,	PUN	,
des	PRP:det	du
crimes	NOM	crime
inventés	VER:pper	inventer
?	SENT	?
Que	KON	que
ne	ADV	ne
puis	ADV	puis
-je	PRO:PER	je
douter	VER:infi	douter
de	PRP	de
ton	DET:POS	ton
ingratitude	NOM	ingratitude
?	SENT	?
S'	PRO:PER	se
il	PRO:PER	il
ne	ADV	ne
me	PRO:PER	me
restait	VER:impf	rester
encore	ADV	encore
la	DET:ART	le
moindre	ADJ	moindre
incertitude	NOM	incertitude
,	PUN	,
Bientôt	NOM	Bientôt
en	PRP	en
ta	DET:POS	ton
faveur	NOM	faveur
je	PRO:PER	je
saurais	VER:cond	savoir
m'	PRO:PER	me
abuser	VER:infi	abuser
,	PUN	,
Et	VER:infi	Et
je	PRO:PER	je
te	PRO:PER	te
défendrais	VER:cond	défendre
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
t'	PRO:PER	te
accuser	VER:infi	accuser
;	PUN	;
Mais	VER:impf	Mais
de	PRP	de
ta	DET:POS	ton
propre	ADJ	propre
main	NOM	main
j'	PRO:PER	je
ai	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
seing	NOM	seing
parjure	ADJ	parjure
,	PUN	,
Et	VER:ppre	Et
mes	DET:POS	mon
yeux	NOM	œil
dans	PRP	dans
mon	DET:POS	mon
coeur	NOM	cœur
font	VER:pres	faire
taire	VER:infi	taire
la	DET:ART	le
nature	NOM	nature
:	PUN	:
À	PRP	à
quoi	PRO:REL	quoi
rendraient	VER:cond	rendre
enfin	ADV	enfin
ces	PRO:DEM	ce
perfides	ADJ	perfide
traités	NOM	traité
,	PUN	,
Ces	VER:simp	Ces
asiles	NOM	asile
offerts	VER:pper	offrir
,	PUN	,
ces	PRO:DEM	ce
secours	NOM	secours
acceptés	VER:pper	accepter
,	PUN	,
Ces	VER:simp	Ces
serments	NOM	serment
mutuels	ADJ	mutuel
,	PUN	,
cette	PRO:DEM	ce
coupable	ADJ	coupable
ligue	NOM	ligue
,	PUN	,
Qu'	NOM	Qu'
au	PRP:det	au
trône	NOM	trône
où	PRO:REL	où
dès	PRP	dès
longtemps	ADV	longtemps
un	DET:ART	un
père	NOM	père
se	PRO:PER	se
fatigue	VER:pres	fatiguer
?	SENT	?
Réponds	VER:pres	répondre
-moi	PRO:PER	moi
,	PUN	,
si	KON	si
tu	PRO:PER	tu
peux	VER:pres	pouvoir
?	SENT	?
As	VER:pres	avoir
-tu	PRO:PER	tu
quelques	PRO:IND	quelque
raisons	NOM	raison
?	SENT	?
Où	ADV	où
plutôt	ADV	plutôt
,	PUN	,
sont	VER:pres	être
-ce	PRO:DEM	ce
là	ADV	là
toutes	PRO:IND	tout
tes	DET:POS	ton
trahisons	NOM	trahison
?	SENT	?
Parle	VER:pres	parler
;	PUN	;
ton	DET:POS	ton
embarras	NOM	embarras
suffit	VER:pres	suffire
pour	PRP	pour
te	PRO:PER	te
confondre	VER:infi	confondre
.	SENT	.
Non	ADV	non
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
puis	ADV	puis
ou	KON	ou
je	PRO:PER	je
n'	ADV	ne
ose	VER:pres	oser
vous	PRO:PER	vous
répondre	VER:infi	répondre
,	PUN	,
Je	PRO:PER	je
suis	VER:pres	suivre|être
moins	ADV	moins
criminel	ADJ	criminel
que	KON	que
je	PRO:PER	je
ne	ADV	ne
le	PRO:PER	le
parais	VER:pres	paraître
,	PUN	,
Et	VER:impf	Et
vous	PRO:PER	vous
ne	ADV	ne
savez	VER:pres	savoir
pas	ADV	pas
encore	ADV	encore
tous	PRO:IND	tout
mes	DET:POS	mon
secrets	NOM	secret
.	SENT	.
Quoi	PRO	quoi
?	SENT	?
De	PRP	de
vos	DET:POS	votre
favoris	NOM	favori
la	DET:ART	le
farouche	ADJ	farouche
conduite	NOM	conduite
Pourrait	VER:cond	pouvoir
justifier	VER:infi	justifier
le	DET:ART	le
dessein	NOM	dessein
de	PRP	de
ma	DET:POS	mon
fuite	NOM	fuite
,	PUN	,
Sous	VER:ppre	Sous
le	DET:ART	le
joug	NOM	joug
importun	ADJ	importun
de	PRP	de
leurs	DET:POS	leur
sévères	ADJ	sévère
lois	NOM	loi
,	PUN	,
Les	DET:ART	le
coeurs	NOM	cœur
les	DET:ART	le
plus	ADV	plus
soumis	VER:pper	soumettre
murmurent	VER:pres	murmurer
quelquefois	ADV	quelquefois
,	PUN	,
Et	VER:subi	Et
l'	PRO:PER	la|le
on	PRO:PER	on
doit	VER:pres	devoir
imputer	VER:infi	imputer
dans	PRP	dans
un	DET:ART	un
jeune	ADJ	jeune
courage	NOM	courage
De	VER:ppre	De
tels	PRO:DEM	tel
égarements	NOM	égarement
aux	PRP:det	au
faiblesses	NOM	faiblesse
de	PRP	de
l'	DET:ART	le
âge	NOM	âge
;	PUN	;
Mais	VER:impf	Mais
je	PRO:PER	je
ne	ADV	ne
veux	VER:pres	vouloir
devoir	VER:infi	devoir
ma	DET:POS	mon
défense	NOM	défense
qu'	KON	que
à	PRP	à
vous	PRO:PER	vous
:	PUN	:
Souffrez	VER:pres	souffrir
que	KON	que
je	PRO:PER	je
me	PRO:PER	me
jette	VER:pres	jeter
à	PRP	à
vos	DET:POS	votre
genoux	NOM	genou
:	PUN	:
Vôtre	PRO:POS	vôtre
âme	NOM	âme
en	PRP	en
ma	DET:POS	mon
faveur	NOM	faveur
n'	ADV	ne
est-elle	ADJ	est-elle
point	ADV	point
émue	VER:pper	émouvoir
?	SENT	?
Quoi	PRO	quoi
loin	ADV	loin
de	PRP	de
m'	PRO:PER	me
écouter	VER:infi	écouter
vous	PRO:PER	vous
détournez	VER:pres	détourner
la	DET:ART	le
vue	NOM	vue
?	SENT	?
Votre	DET:POS	votre
coeur	NOM	cœur
se	PRO:PER	se
refuse	VER:pres	refuser
aux	PRP:det	au
tendres	ADJ	tendre
mouvements	NOM	mouvement
,	PUN	,
Qui	NAM	Qui
devraient	VER:cond	devoir
le	PRO:PER	le
saisir	VER:infi	saisir
dans	PRP	dans
ces	PRO:DEM	ce
tristes	ADJ	triste
moments	NOM	moment
?	SENT	?
Regardez	VER:pres	regarder
-moi	PRO:PER	moi
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
avec	PRP	avec
des	PRP:det	du
yeux	NOM	œil
de	PRP	de
père	NOM	père
;	PUN	;
Mais	VER:impf	Mais
hélas	INT	hélas
!	SENT	!
Je	PRO:PER	je
ne	ADV	ne
fais	VER:pres	faire
qu'	KON	que
aigrir	VER:infi	aigrir
votre	DET:POS	votre
colère	NOM	colère
.	SENT	.
Prince	NOM	prince
,	PUN	,
n'	ADV	ne
avez	VER:pres	avoir
-vous	PRO:PER	vous
rien	ADV	rien
à	PRP	à
me	PRO:PER	me
dire	VER:infi	dire
de	PRP	de
plus	ADV	plus
?	SENT	?
Non	ADV	non
,	PUN	,
d'	PRP	de
en	PRO:PER	en
avoir	VER:infi	avoir
tant	ADV	tant
dit	VER:pper	dire
je	PRO:PER	je
suis	VER:pres	suivre|être
même	ADV	même
confus	ADJ	confus
:	PUN	:
Ah	INT	ah
!	SENT	!
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
point	ADV	point
l'	DET:ART	le
horreur	NOM	horreur
d'	PRP	de
un	DET:ART	un
coup	NOM	coup
qui	PRO:REL	qui
me	PRO:PER	me
menace	VER:pres	menacer
Qui	NAM	Qui
me	PRO:PER	me
fait	VER:pres	faire
mendier	VER:infi	mendier
une	DET:ART	un
honteuse	ADJ	honteux
grâce	NOM	grâce
,	PUN	,
Et	VER:ppre	Et
mon	DET:POS	mon
coeur	NOM	cœur
en	PRP	en
effet	NOM	effet
n'	ADV	ne
attendait	VER:impf	attendre
pas	ADV	pas
de	PRP	de
vous	PRO:PER	vous
,	PUN	,
Après	NAM	Après
tant	ADV	tant
de	PRP	de
rigueurs	NOM	rigueur
un	DET:ART	un
traitement	NOM	traitement
plus	ADV	plus
doux	ADJ	doux
;	PUN	;
Je	PRO:PER	je
sais	VER:pres	savoir
trop	ADV	trop
que	KON	que
pour	KON	pour
moi	PRO:PER	moi
vous	PRO:PER	vous
êtes	VER:pres	être
insensible	ADJ	insensible
,	PUN	,
Et	VER:ppre	Et
la	DET:ART	le
mort	NOM	mort
à	PRP	à
mes	DET:POS	mon
yeux	NOM	œil
n'	ADV	ne
offre	VER:pres	offrir
rien	ADV	rien
de	PRP	de
terrible	ADJ	terrible
:	PUN	:
Si	KON	si
l'	PRO:PER	la|le
on	PRO:PER	on
m'	PRO:PER	me
eut	VER:simp	avoir
contraint	VER:pper	contraindre
à	PRP	à
cet	PRO:DEM	ce
indigne	ADJ	indigne
effort	NOM	effort
...	PUN	...
C'	NAM	C'
est	VER:pres	être
assez	ADV	assez
,	PUN	,
je	PRO:PER	je
t'	PRO:PER	te
entends	VER:pres	entendre
.	SENT	.
Ordonnez	VER:pres	ordonner
de	PRP	de
mon	DET:POS	mon
sort	NOM	sort
,	PUN	,
Hâtez	VER:pres	hâter
le	DET:ART	le
coup	NOM	coup
fatal	ADJ	fatal
d'	PRP	de
une	DET:ART	un
lente	ADJ	lent
justice	NOM	justice
,	PUN	,
La	DET:ART	le
vie	NOM	vie
est	VER:pres	être
désormais	ADV	désormais
mon	DET:POS	mon
plus	ADV	plus
cruel	ADJ	cruel
supplice	NOM	supplice
,	PUN	,
Et	VER:subi	Et
je	PRO:PER	je
mourrai	VER:futu	mourir
bientôt	ADV	bientôt
de	PRP	de
honte	NOM	honte
et	KON	et
de	PRP	de
regret	NOM	regret
,	PUN	,
De	VER:simp	De
m'	PRO:PER	me
être	VER:infi	être
à	PRP	à
vos	DET:POS	votre
genoux	NOM	genou
abaissé	VER:pper	abaisser
sans	PRP	sans
effet	NOM	effet
.	SENT	.
Ô	INT	ô
ciel	NOM	ciel
!	SENT	!
Jusqu'	PRP	jusque
où	PRO:REL	où
l'	PRO:PER	la|le
emportera	VER:futu	emporter
une	DET:ART	un
aveugle	ADJ	aveugle
insolence	NOM	insolence
?	SENT	?
C'	PRO:DEM	ce
est	VER:pres	être
trop	ADV	trop
en	PRP	en
ta	DET:POS	ton
faveur	NOM	faveur
me	PRO:PER	me
faire	VER:infi	faire
violence	NOM	violence
,	PUN	,
Si	VER:ppre	Si
l'	DET:ART	le
on	PRO:PER	on
ne	ADV	ne
l'	PRO:PER	la|le
eut	VER:simp	avoir
contraint	VER:pper	contraindre
à	PRP	à
cet	PRO:DEM	ce
indigne	ADJ	indigne
effort	NOM	effort
,	PUN	,
Dit-il	NAM	Dit-il
...	PUN	...
Ah	NAM	Ah
!	SENT	!
Ce	PRO:DEM	ce
mot	NOM	mot
décide	VER:pres	décider
de	PRP	de
sa	DET:POS	son
mort	NOM	mort
.	SENT	.
Je	PRO:PER	je
suis	VER:pres	suivre|être
trop	ADV	trop
éclairci	VER:pper	éclaircir
,	PUN	,
l'	DET:ART	le
Impératrice	NOM	impératrice
l'	PRO:PER	la|le
aime	VER:pres	aimer
:	PUN	:
Non	ADV	non
,	PUN	,
non	ADV	non
,	PUN	,
ce	PRO:DEM	ce
ne	ADV	ne
peut	VER:pres	pouvoir
être	VER:infi	être
une	DET:ART	un
autre	ADJ	autre
qu'	KON	que
elle	PRO:PER	elle
-même	ADJ	même
;	PUN	;
Irène	NAM	Irène
a	VER:pres	avoir
fait	VER:pper	faire
tracer	VER:infi	tracer
cet	PRO:DEM	ce
odieux	ADJ	odieux
écrit	NOM	écrit
,	PUN	,
Qui	NAM	Qui
d'	PRP	de
un	DET:ART	un
trouble	NOM	trouble
fatal	ADJ	fatal
a	VER:pres	avoir
rempli	VER:pper	remplir
mon	DET:POS	mon
esprit	NOM	esprit
.	SENT	.
Tremblante	ADJ	tremblant
pour	PRP	pour
ses	DET:POS	son
jours	NOM	jour
à	PRP	à
tous	PRO:IND	tout
mes	DET:POS	mon
voeux	NOM	vœu
contraire	ADJ	contraire
,	PUN	,
Elle	NAM	Elle
a	VER:pres	avoir
tout	ADV	tout
hasardé	VER:pper	hasarder
pour	PRP	pour
ce	PRO:DEM	ce
fils	NOM	fil|fils
téméraire	ADJ	téméraire
,	PUN	,
Je	PRO:PER	je
n'	ADV	ne
en	PRP	en
puis	ADV	puis
plus	ADV	plus
douter	VER:infi	douter
,	PUN	,
le	DET:ART	le
traître	NOM	traître
s'	PRO:PER	se
est	VER:pres	être
trahi	VER:pper	trahir
;	PUN	;
À	PRP	à
d'	PRP	de
autres	ADJ	autre
lois	NOM	loi
enfin	ADV	enfin
aurait-il	NOM	aurait-il
obéit	VER:pres	obéir
?	SENT	?
Et	KON	et
n'	ADV	ne
eut	VER:simp	avoir
été	VER:pper	être
l'	DET:ART	le
espoir	NOM	espoir
de	PRP	de
plaire	VER:infi	plaire
à	PRP	à
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
aime	VER:pres	aimer
Se	NAM	Se
fût-il	VER:simp	fût-il
jamais	ADV	jamais
fait	VER:pper	faire
cet	PRO:DEM	ce
effort	NOM	effort
sur	PRP	sur
lui	PRO:PER	lui
-même	ADJ	même
?	SENT	?
De	PRP	de
quel	PRO:REL	quel
air	NOM	air
l'	DET:ART	le
insolent	ADJ	insolent
s'	KON	si
est-il	ADJ	est-il
humilié	VER:pper	humilier
?	SENT	?
Il	PRO:PER	il
excitait	VER:impf	exciter
ma	DET:POS	mon
haine	NOM	haine
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
ma	DET:POS	mon
pitié	NOM	pitié
,	PUN	,
J'	NAM	J'
ai	VER:pres	avoir
vu	VER:pper	voir
jusqu'	PRP	jusque
à	PRP	à
mes	DET:POS	mon
pieds	NOM	pied
ce	PRO:DEM	ce
superbe	ADJ	superbe
courage	NOM	courage
,	PUN	,
De	VER:ppre	De
ses	DET:POS	son
respects	NOM	respect
forcés	ADJ	forcé
désavouer	VER:infi	désavouer
l'	DET:ART	le
hommage	NOM	hommage
,	PUN	,
Il	NOM	Il
n'	ADV	ne
a	VER:pres	avoir
pu	VER:pper	pouvoir
soutenir	VER:infi	soutenir
un	DET:ART	un
repentir	NOM	repentir
trompeur	ADJ	trompeur
,	PUN	,
Et	VER:ppre	Et
sa	DET:POS	son
bouche	NOM	bouche
a	VER:pres	avoir
trahi	VER:pper	trahir
la	DET:ART	le
fierté	NOM	fierté
de	PRP	de
son	DET:POS	son
coeur	NOM	cœur
.	SENT	.
Dans	PRP	dans
quels	PRO:REL	quel
temps	NOM	temps
?	SENT	?
Au	PRP:det	au
moment	NOM	moment
que	KON	que
malgré	PRP	malgré
ma	DET:POS	mon
colère	NOM	colère
Le	DET:ART	le
traître	NOM	traître
me	PRO:PER	me
faisait	VER:impf	faire
sentir	VER:infi	sentir
que	KON	que
j'	PRO:PER	je
étais	VER:impf	être
père	NOM	père
,	PUN	,
Que	VER:simp	Que
toute	PRO:IND	tout
ma	DET:POS	mon
fureur	NOM	fureur
m'	PRO:PER	me
allait	VER:impf	aller
abandonner	VER:infi	abandonner
:	PUN	:
Que	PRO:REL	que
sais	VER:pres	savoir
-je	PRO:PER	je
?	SENT	?
Quand	KON	quand
mon	DET:POS	mon
coeur	NOM	cœur
eût	VER:subi	avoir
pu	VER:pper	pouvoir
lui	PRO:PER	lui
pardonner	VER:infi	pardonner
Que	VER:infi	Que
cette	PRO:DEM	ce
lettre	NOM	lettre
entre	PRP	entre
eux	PRO:PER	eux
marque	VER:pres	marquer
d'	PRP	de
intelligence	NOM	intelligence
?	SENT	?
Vous	PRO:PER	vous
n'	ADV	ne
abuserez	VER:futu	abuser
plus	ADV	plus
de	PRP	de
mon	DET:POS	mon
trop	NOM	trop
d'	PRP	de
indulgence	NOM	indulgence
,	PUN	,
Traîtres	NAM	Traîtres
.	SENT	.
Mais	KON	mais
par	PRP	par
quel	PRO:REL	quel
charme	VER:pres	charmer
ont-il	NOM	ont-il
pu	VER:pper	pouvoir
m'	PRO:PER	me
éblouir	VER:infi	éblouir
,	PUN	,
Comment	NAM	Comment
ont	VER:pres	avoir
-ils	PRO:PER	il
osé	VER:pper	oser
songer	VER:infi	songer
à	PRP	à
me	PRO:PER	me
trahir	VER:infi	trahir
?	SENT	?
Moi	PRO:PER	moi
,	PUN	,
qui	PRO:REL	qui
partant	VER:ppre	partir
de	PRP	de
soins	NOM	soin
et	KON	et
de	PRP	de
persévérance	NOM	persévérance
De	VER:subi	De
pénétrer	VER:infi	pénétrer
les	DET:ART	le
coeurs	NOM	cœur
possède	VER:pres	posséder
la	DET:ART	le
science	NOM	science
,	PUN	,
Qui	NAM	Qui
par	PRP	par
l'	DET:ART	le
art	NOM	art
que	PRO:REL	que
j'	PRO:PER	je
emploie	VER:pres	employer
à	PRP	à
cacher	VER:infi	cacher
mes	DET:POS	mon
projets	NOM	projet
,	PUN	,
Connais	VER:impf	Connais
tous	PRO:IND	tout
les	DET:ART	le
chemins	NOM	chemin
tous	PRO:IND	tout
les	DET:ART	le
détours	NOM	détour
secrets	ADJ	secret
,	PUN	,
Qui	NAM	Qui
par	PRP	par
ma	DET:POS	mon
politique	NOM	politique
et	KON	et
mon	DET:POS	mon
adresse	NOM	adresse
à	PRP	à
feindre	VER:infi	feindre
Force	VER:pres	forcer
tous	PRO:IND	tout
mes	DET:POS	mon
voisins	NOM	voisin
